artist_name,artist_role,artist_id,nationality,gender,birth_year,birth_place,death_year,death_place,wiki,ulan
  J & L Lobmeyr,,,Austrian,,1823-01-01,,,,,
 4moms,,,American,,,,,,,
 A. C.|Rowlandson Pugin,after|publisher|printmaker|,,French|British|British|British,,1769-01-01|1756-01-01|1764-01-01|,,1832-01-01|1827-01-01|1834-01-01|1819-01-01,"London, England|London, England|Finchley, London, England|",,
 A. Cassandre,,,French,,1/1/1901,,1/1/1968,Paris,,
 A. Charrie,,,French,,,,,,,
 A. Hausold,,,American,,1860-01-01,,,,,
 A. J. Speyer,,,American,,1/1/1913,,1/1/1986,"Chicago, Illinois",,
 A. J.|Conrad Speyer,architect|modelmaker,,American|American,,1913-01-01|1910-01-01,,1986-01-01|1994-01-01,"Chicago, Illinois|",,
 A. M. Thompson,,,American,,1860-01-01,,,,,
 A. N. Bayley and Goodrich|Paddock,architects|delineator,,American|undetermined,,1897-01-01|,,1905-01-01|,|,,
 A. N. Christie,,,American,,,,,,,
 A. R. Pittman,,,American,,1883-01-01,,,,,
 A. W. Atkinson,,,English,,,,,,,
 A. Weud,,,Austrian,,,,,,,
 Aaron Shikler,,,American,,1/1/1922,,,,,
 Aaron Siskind,,,American,,1/1/1903,,1/1/1991,"Providence (Providence county, Rhode Island, United States)",,
 Aaron|Fry Bloom,|,,American|American,,|1900-01-01,,|1929-01-01,|,,
 Ababua unknown Congolese,possibly by,,Congolese,,,,,,,
 Abraham Sissman,,,American,,1/1/1912,,1/1/1940,,,
 Abraham Walkowitz,,,American,,1880-01-01,,1/1/1965,"New York City (New York state, United States)",,
 Abraham unknown Dutch|Bloemaert,after|,,Dutch|Dutch,,|1566-01-01,,|1651-01-01,"|Utrecht (Utrecht province, Netherlands)",,
 Abraham|Goltzius Blooteling,engraver|after,,Dutch|Dutch,,1640-01-01|1558-01-01,,1690-01-01|1617-01-01," Amsterdam (North Holland, Netherlands)|Haarlem (North Holland, Netherlands)",,
 Abraham|Mieris Blooteling,printmaker|after,,Dutch|Dutch,,1640-01-01|1660-01-01,,1690-01-01|1690-01-01," Amsterdam (North Holland, Netherlands)|Rome (Roma province, Lazio, Italy)",,
 Abraham|Rubens Blooteling,after|publisher|,,Dutch|Flemish|Netherlandish,,1640-01-01|1577-01-01|1649-01-01,,1690-01-01|1640-01-01|1702-01-01," Amsterdam (North Holland, Netherlands)|Antwerp (Antwerpen province, Flanders, Belgium)|",,
 Abraham|Vaillant Blooteling,printmaker|after,,Dutch|Flemish,,1640-01-01|1632-01-01,,1690-01-01|1698-01-01," Amsterdam (North Holland, Netherlands)|",,
 Abram Tromka,,,American,,1896-01-01,,1/1/1954,"Queens, New York",,
 Achaemenid period unknown Persian,,,Achaemenid,,0699-01-01,,0599-01-01,,,
 Ada Gabriel,,,American,,1898-01-01,,1/1/1975,"New York City, New York",,
 Adams,,,English,,,,,,,
 Adolf Fleischmann,,,German,,1892-01-01,,1/1/1969," Stuttgart (Stuttgart district, Baden-Württemberg, Germany)",,
 Adolf de Meyer,,,French,,1868-01-01,,1/1/1949,"Hollywood (Los Angeles, Los Angeles county, California, United States)",,
 Adolf von Menzel,,,German,,1815-01-01,,1/1/1905,"Berlin, Germany",,
 Adolf| J & L Lobmeyr Loos,|,,Austrian|Austrian,,1870-01-01|1823-01-01,,1933-01-01|,"Kalksburg, Austria|",,
 Adolphe Appian,,,French,,1818-01-01,,1898-01-01,,,
 Adriaen Collaert,,,Flemish,,1560-01-01,,1618-01-01,"Antwerp, Flanders, Belgium",,
 Adriaen v. Velde,,,Dutch,,1636-01-01,,1672-01-01,,,
 Adrian Saxe,,,American,,1/1/1943,,,,,
 Adrian Troy,,,American,,1/1/1901,,1/1/1977,"Memphis, TN",,
 Adrien Dauzats,,,French,,1804-01-01,,1868-01-01," Paris (Ville de Paris department, Île-de-France, France)",,
 Adrien Pierre Dalpayrat,,,French,,1844-01-01,,1/1/1910,,,
 Adrien Ysenbrandt,,,Flemish,,1485-01-01,,1551-01-01," Bruges, Belgium",,
 Adrienne Heinrich,,,American,,1/1/1937,,,,,
 Agnes Lyall,,,American,,1/1/1908,,,,,
 Agnes Martin,,,Canadian,,1/1/1912,,1/1/2004,"Taos (Taos county, New Mexico, United States)",,
 Aijiro Wakita,,,Japanese,,1/1/1942,,,,,
 Aitchison & Co.,manufacturer,,English,,1889-01-01,,1/1/1927,,,
 Akasawa Etsutarô,,,Japanese,,1/1/1920,,,,,
 Akio Takamori,,,American,,1/1/1950,,,,,
 Akira Arita,,,Japanese,,1/1/1947,,,,,
 Al Mahler,,,American,,1/1/1950,,1/1/1988,,,
 Alain Mailland,,,French,,1/1/1959,,,,,
 Alan C. Dunn,,,American,,1/1/1900,,1/1/1974,,,
 Alan Greenberg,,,American,,1/1/1956,,,,,
 Alan H. Crane,,,American,,1/1/1901,,1/1/1969,"Rockport, MA",,
 Alan H. Sperling,,,American,,,,,,,
 Albert B. Flamen,,,Flemish,,1648-01-01,,1664-01-01,,,
 Albert Bierstadt,,,American,,1830-01-01,,1/1/1902,"Irving (Chautauqua county, New York state, United States)",,
 Albert Bruce-Joy,,,American,,1842-01-01,,1/1/1937,,,
 Albert E. Gallatin,,,American,,1881-01-01,,1/1/1952,,,
 Albert J. Weber,,,American,,1/1/1919,,,,,
 Albert Kelsey,architect,,American,,1870-01-01,,1/1/1950,,,
 Albert L. Groll,,,American,,1866-01-01,,1/1/1952,,,
 Albert Moore,,,British,,1841-01-01,,1893-01-01,"London (Greater London, England, United Kingdom)",,
 Albert Sway,,,American,,1/1/1913,,1/1/2003,,,
 Albert Swinden,,,American,,1/1/1901,,1/1/1961,,,
 Albert W. Graham,,,Canadian,,1858-01-01,,1871-01-01,,,
 Albertis Del Orient Browere,,,American,,1814-01-01,,1887-01-01,"Catskill (Greene county, New York state, United States)",,
 Alcoa,manufacturer,,American,,1888-01-01,,,,,
 Aldridge & Stamper,,,British,,1753-01-01,,1757-01-01,,,
 Aleksandra Exster,,,Russian,,1884-01-01,,1/1/1949,"Fontenay-aux-Roses (Hauts-de-Seine department, Île-de-France, France)",,
 Alessandro Mastro-Valerio,,,American,,1889-01-01,,1/1/1953,,,
 Alessandro unknown Florentine|Allori,circle of|,,Italian|Italian,,|1535-01-01,,|1607-01-01,"|Florence (Firenze province, Tuscany, Italy)",,
 Alex Hay,,,American,,1/1/1930,,,,,
 Alexander  L.|Smith Dick,after|,,American|American,,1805-01-01|1812-01-01,,1865-01-01|1896-01-01,|,,
 Alexander Dobkin,,,American,,1/1/1908,,1/1/1975,"St. Martin, West Indies",,
 Alexander H. Wyant,,,American,,1836-01-01,,1892-01-01,"New York City (New York state, United States)",,
 Alexander Johnston,,,Scottish,,,,,,,
 Alexander Roux,attributed to,,American,,1813-01-01,,1886-01-01,,,
 Alexander|Irelan Robertson,ceramicist|decorator|,,American|American|American,,||1898-01-01,,||1906-01-01,||,,
 Alexandre E. Prignot,,,French,,1822-01-01,,1876-01-01,,,
 Alexandre Garbell,,,French,,1/1/1903,,1/1/1970,,,
 Alexandre-Gabriel Decamps,,,French,,1803-01-01,,1860-01-01," Fontainebleau (Seine-et-Marne, Île-de-France, France)",,
 Alexandre|Sèvres Porcelain Factory Sandier,designer|manufacturer,,French|French,,1843-01-01|1756-01-01,,1916-01-01|,|,,
 Alexandria unknown Greek,,,Greek,,,,,,,
 Alfonse Pagano,,,American,,1/1/1951,,,,,
 Alfred Boucher,,,French,,1850-01-01,,1/1/1934,,,
 Alfred J. Munnings,,,British,,1878-01-01,,1/1/1959,"Dedham (Essex, England, United Kingdom)",,
 Alfred Jensen,,,American,,1/1/1903,,1/1/1981," Glen Ridge (Essex county, New Jersey, United States)",,
 Alfred Lys Baldry,,,British,,1858-01-01,,1/1/1939,,,
 Alfred Thompson Bricher,,,American,,1837-01-01,,1/1/1908,"New Dorp (New York City, New York state, United States)",,
 Alfred de Credico,,,American,,1/1/1944,,,,,
 Alfredo Zalce,,,Mexican,,1/1/1908,,1/1/2003,,,
 Alfred|Porquier Factory Beau,decorator|manufacturer,,French|French,,1829-01-01|1873-01-01,,1907-01-01|1894-01-01,|,,
 Alice Boughton,,,American,,1865-01-01,,1/1/1943,,,
 Alice D. Laughlin,,,American,,1895-01-01,,1/1/1952,"New York City, New York",,
 Alice Standish Buell,,,American,,1892-01-01,,1/1/1964,,,
 Alistair Grant,,,English,,1/1/1925,,1/1/1997,"London (Greater London, England, United Kingdom)",,
 Alix MacKenzie,,,American,,1/1/1922,,1/1/1962,,,
 Ali|ICF Group Tayar,designer|manufacturer,,American|American,,1959-01-01|1962-01-01,,|,|,,
 Ali|Parallel Design Partnership Tayar,designer|manufacturer,,American|American,,1959-01-01|1992-01-01,,|,|,,
 Allan J. Lerner,,,undetermined,,,,,,,
 Allen Lewis,,,American,,1873-01-01,,1/1/1957,,,
 Allen Ruppersberg,,,American,,1/1/1944,,,,,
 Alphonse Mattia,,,American,,1/1/1947,,,,,
 Aluminum Music Instrument Co. Inc.,,,American,,1/1/1930,,,,,
 Alvar|Ahlstrom Aalto,|,,Finnish|Finnish,,1898-01-01|1881-01-01,,1976-01-01|," Helsinki (Etelä-Suomen Lääni, Finland)|",,
 Alvar|Artek Oy Aalto,designer|probably by,,Finnish|Finnish,,1898-01-01|1935-01-01,,1976-01-01|," Helsinki (Etelä-Suomen Lääni, Finland)|",,
 Alvar|Iittala USA Aalto,|,,Finnish|American,,1898-01-01|1881-01-01,,1976-01-01|," Helsinki (Etelä-Suomen Lääni, Finland)|",,
 Alvin Langdon|H.G. Wells Coburn,photographer|author,,British|,,1881-01-01|,,1966-01-01|,|,,
 Amalia Pezzo,,,Italian,,,,,,,
 Amar Kanwar,,,Indian,,1/1/1974,,,,,
 Ambrosius Benson,,,Netherlandish,,,,1550-01-01,"Bruges (West-Vlaanderen, Flanders, Belgium)",,
 Amedeo Modigliani,,,Italian,,1884-01-01,,1/1/1920,"Paris (Ville de Paris department, Île-de-France, France)",,
 American Manufacturing Concern,,,American,,1/1/1910,,,,,
 American Mutoscope and Biograph Company,,,American,,1895-01-01,,,,,
 Amie Siegel,,,American,,1/1/1974,,,,,
 Amlash unknown Persian,,,Persian,,,,,,,
 Ammi B. Young,,,American,,1798-01-01,,1874-01-01,"Washington (DC, United States)",,
 Andre Marchand,,,French,,1/1/1907,,1/1/1998,,,
 Andrea Andreani,,,Italian,,1541-01-01,,1623-01-01,,,
 Andrea Zittel,,,American,,1/1/1965,,,,,
 Andreas Achenbach,,,German,,1815-01-01,,1/1/1910,,,
 Andreas|Van Dyck van Rymsdyk,printmaker|after,,Dutch|Flemish,,|1599-01-01,,1786-01-01|1641-01-01,"|London, England",,
 Andrew & Associates Foreign Office Architects|Ingham,architects|maker,,British|British,,1992-01-01|,,2011-01-01|,|,,
 Andrew J. Way,,,American,,1826-01-01,,1888-01-01,"Baltimore, MD",,
 Andrew McIntire,,,American,,,,1805-01-01,,,
 Andrew R. Butler,,,American,,1896-01-01,,1/1/1979,,,
 Andrew Spence,,,American,,1/1/1946,,,,,
 Andrew Topolski,,,American,,1/1/1952,,1/1/2008,,,
 Andrew Wyeth,,,American,,1/1/1917,,1/1/2009,"Chadds Ford (Delaware county, Pennsylvania, United States)",,
 André Bauchant,,,French,,1873-01-01,,1/1/1958,"Montoire-sur-le-Loir (Loir-et-Cher, Centre region, France)",,
 André Lhote,,,French,,1885-01-01,,1/1/1962,"Paris (Ville de Paris department, Ile-de-France, France)",,
 André Marfaing,,,French,,1/1/1925,,1/1/1987,,,
 André|Albert Skira Derain,artist|publisher,,French|Swiss,,1880-01-01|1904-01-01,,1954-01-01|1973-01-01,"Garches (Hauts-de-Seine department, Île-de-France, France)|",,
 André|Rivera Masson,artist|artist|publisher,,French|Mexican|Swiss,,1896-01-01|1886-01-01|1904-01-01,,1987-01-01|1957-01-01|1973-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Mexico City (Distrito Federal, Mexico)|",,
 Angel Ferrant Vázquez,,,Spanish,,1891-01-01,,1/1/1961,,,
 Angela Conner,,,English,,1/1/1935,,,,,
 Angela Grauerholz,,,Canadian,,1/1/1952,,,,,
 Ann L. Mccandless,,,American,,,,1897-01-01,,,
 Ann N. Gillen,,,American,,1/1/1946,,,,,
 Ann Severson,,,American,,1/1/1939,,,,,
 Anna C. Peale,,,American,,1791-01-01,,1878-01-01,"Philadelphia (Philadelphia county, Pennsylvania, United States)",,
 Anne Chu,,,American,,1/1/1959,,1/1/2016,,,
 Anne Kraus,,,American,,1/1/1956,,1/1/2003,,,
 Anne M. Karlsen,,,American,,1/1/1952,,,,,
 Anne Mee,,,British,,1750-01-01,,1851-01-01,"London (Greater London, England, United Kingdom)",,
 Anne Ryan,,,American,,1889-01-01,,1/1/1954,,,
 Anne T. Golomb,,,American,,1/1/1915,,,,,
 Anne T. O'Neill,,,American,,1863-01-01,,1/1/1952,"Pittsburgh, PA",,
 Annette Messager,,,French,,1/1/1943,,,,,
 Anouk Kruithof,artist,,Dutch,,6/2/1981,,,,,
 Anthony Caro,,,English,,1/1/1924,,,,,
 Anthony Hill,,,English,,1/1/1930,,,,,
 Anthony Nelme,,,English,,1697-01-01,,1720-01-01,,,
 Anthony Riportella,,,American,,1884-04-09,,1/1/1969,"Old Tappan (Bergen county, New Jersey, United States)",,
 Anthony unknown English|Van Dyck,after|,,English|Flemish,,|1599-01-01,,|1641-01-01,"|London, England",,
 Anthony|Bolswert Van Dyck,|,,Flemish|Dutch,,1599-01-01|1581-01-01,,1641-01-01|1659-01-01,"London, England|",,
 Anthony|Holbein Van Dyck,after|,,Flemish|German,,1599-01-01|1497-01-01,,1641-01-01|1543-01-01,"London, England|London, England",,
 Antoine Catala,,,French,,1/1/1975,,,,,
 Antoine Vestier,,,French,,1740-01-01,,1824-01-01,"Paris, France",,
 Antoine Vollon,,,French,,1833-01-01,,1/1/1900,"Paris (Ville de Paris department, Île-de-France, France)",,
 Antoine-Jean Gros,,,French,,1771-01-01,,1835-01-01," Meudon (Hauts-de-Seine department, Île-de-France, France)",,
 Antoine-Louis-Francois|Duplessis Sergent,after|,,French|French,,1751-01-01|1725-01-01,,1847-01-01|1802-01-01,"|Versailles, France",,
 Anton Forshen,,,undetermined,,,,,,,
 Anton Koberger,,,German,,1445-01-01,,1513-01-01,,,
 Anton Peffenhauser,,,German,,1510-01-01,,1603-01-01,,,
 Anton Rooskens,,,Dutch,,1/1/1906,,1/1/1976,"Amsterdam (North Holland, Netherlands)",,
 Antonin Mercié,artist,,French,,1845-01-01,,1/1/1916,,,
 Antonio Canova,,,Italian,,1757-01-01,,1824-01-01,,,
 Antonio Corpora,,,Italian,,1/1/1909,,1/1/2004,Rome,,
 Antonio Missaglia,,,Italian,,1450-01-01,,1492-01-01,,,
 Antonio P. Soublette,,,Venezuelan,,1893-01-01,,1/1/1985,,,
 Antonio Seguí,,,Argentine,,1/1/1934,,,,,
 Antonio|Canova Frilli,after|,,Italian|Italian,,|1757-01-01,,1902-01-01|1824-01-01,|,,
 Antony Armstrong-Jones Snowdon,,,British,,1/1/1930,,,,,
 Antony Donaldson,,,English,,1/1/1939,,,,,
 Anzolo|Arte Vetraria Muranese Fuga,designer|manufacturer,,Italian|Italian,,1914-01-01|1932-01-01,,1998-01-01|,|,,
 Aoi Shobo Publishers Henmi Takashi|Shimo Taro,publisher|,,Japanese|Japanese,,1895-01-01|,,1944-01-01|1945-01-01,|,,
 Aoyama Seiji,,,Japanese,,1893-01-01,,1/1/1969,Japan,,
 Apollo Studios,,,American,,1/1/1910,,1/1/1930,,,
 Apprien-Julian de Sèvres Porcelain Factory|Choisy,|,,French|French,,1756-01-01|,,|1812-01-01,|,,
 Arabia Porcelain Factory,,,Finnish,,1874-01-01,,,,,
 Arbit Blatas,,,American,,1/1/1909,,1/1/1999,"Manhattan (New York state, United States)",,
 Archie Rand,,,American,,1/1/1949,,,,,
 Architects Fuller & Laver,,,American,,,,,,,
 Architects|Churchill Fuller & Laver,photographer|,,American|American,,|,,|,|,,
 Architectural League of New York,,,American,,1881-01-01,,,,,
 Archizoom Associates|Poltronova,designers|manufacturer,,Italian|Italian,,1966-01-01|1957-01-01,,1974-01-01|,|,,
 Arita unknown Japanese,,,Japanese,,,,,,,
 Arkhangel'Skoe Prince Iusupov Porcelain Factory,,,Russian,,,,1831-01-01,,,
 Armand Guillaumin,,,French,,1841-01-01,,1/1/1927,,,
 Arne Svenson,,,American,,1/1/1952,,,,,
 Arnold Schulten,,,German,,1809-01-01,,1874-01-01,,,
 Arshile Gorky,,,American,,1/1/1904,,1/1/1948," Sherman (Fairfield county, Connecticut, United States)",,
 Arthur B. Frost,,,American,,1851-01-01,,1/1/1928,"Pasadena (Los Angeles county, California, United States)",,
 Arthur Beecher Carles,,,American,,1882-01-01,,1/1/1952,"Philadelphia (Philadelphia county, Pennsylvania, United States)",,
 Arthur King,,,American,,1/1/1921,,1/1/1986,,,
 Arthur L. Piza,,,Brazilian,,1/1/1928,,,,,
 Arthur Lubetz,architect,,American,,1/1/1940,,,,,
 Arthur W. Heintzelman,,,American,,1890-01-01,,1/1/1965,,,
 Arthur|Brannam Bamkin,decorator|manufacturer,,English|English,,1881-01-01|1855-01-01,,1899-01-01|1937-01-01,|,,
 Artus Van|Rookwood Pottery Briggle,|,,American|American,,1869-01-01|1880-01-01,,1904-01-01|1967-01-01,"Colorodo Springs, CO|",,
 Ary Stillman,,,American,,1891-01-01,,1/1/1967,"Houston, TX",,
 Asada Benji,,,Japanese,,1899-01-01,,1/1/1984,,,
 Asada Benji|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,,Japanese|Japanese,,1899-01-01|1900-01-01,,1984-01-01|,|,,
 Asahi Masahide|Japan Woodblock Print Society (Nihon hanga kyokai),publisher|,,Japanese|Japanese,,1900-01-01|1900-01-01,,1956-01-01|,|,,
 Asano Takeji|Unsôdô,artist|publisher,,Japanese|Japanese,,1900-01-01|,,1999-01-01|,|,,
 Asher Benjamin,,,American,,1773-01-01,,1845-01-01,"Springfield, Massachusetts",,
 Asher Brown Durand,,,American,,1796-01-01,,1886-01-01,"Maplewood (Essex county, New Jersey, United States)",,
 Asia Minor,,,"Turkish, Asia Minor",,,,,,,
 Aspen Mays,artist,,American,,1/1/1980,,,,,
 Attilio Pierelli,,,Italian,,1/1/1924,,1/1/2013,,,
 Aubert H. Parent,,,French,,1753-01-01,,1835-01-01,"Valenciennes (Nord, Nord-Pas-de-Calais, France)",,
 Aubusson Carpet Factories,possibly by,,French,,1742-01-01,,,,,
 Audrey Flack,,,American,,1/1/1931,,,,,
 Aufrecht's New Elite,,,American,,1860-01-01,,,,,
 August C. Cook,,,American,,1897-01-01,,1/1/1990,"Spartanburg (Spartanburg county, South Carolina, United States)",,
 Auguste H. Musin,,,Belgian,,1852-01-01,,1/1/1920,,,
 Auguste Herbin,,,French,,1882-01-01,,1/1/1960,,,
 Auguste Hervier,,,French,,,,,,,
 Auguste Hipolyte,after,,French,,1799-01-01,,1814-01-01,,,
 Auguste Ledru,,,French,,1860-01-01,,1/1/1902,,,
 Auguste Legras,,,French,,1817-01-01,,1887-01-01,,,
 Auguste|Gerard Desnoyers,after|,,French|French,,1779-01-01|1770-01-01,,1857-01-01|1837-01-01," Paris (Ville de Paris department, Île-de-France, France)| Paris (Ville de Paris department, Île-de-France, France)",,
 Auguste|Nancy Glass Manufacture Daum,designer|manufacturer,,French|French,,1853-01-01|1878-01-01,,1909-01-01|,|,,
 Augustin A. Edouart,,,French,,1789-01-01,,1861-01-01,,,
 Augustin Dubourg,,,French,,1791-01-01,,1800-01-01,,,
 Augustus V. Tack,,,American,,1870-01-01,,1/1/1949,"New York City (New York state, United States)",,
 Augustus Welby Northmore|Hardman Pugin,designer|manufacturer,,British|Scottish,,1812-01-01|1838-01-01,,1852-01-01|,"Ramsgate (Kent, England, United Kingdom)|",,
 Augustus Welby Northmore|Minton & Co. Pugin,designer|manufacturer,,British|British,,1812-01-01|1793-01-01,,1852-01-01|,"Ramsgate (Kent, England, United Kingdom)|",,
 Augustus Welby Northmore|Thompson Pugin,designer|maker,,British|British,,1812-01-01|1853-01-01,,1852-01-01|1871-01-01,"Ramsgate (Kent, England, United Kingdom)|",,
 Avignon unknown French,,,French,,,,,,,
 Ay-O,,,Japanese,,1/1/1931,,,,,
 Azechi Umetaro|Uemura Masuo,artist|publisher,,Japanese|Japanese,,1902-01-01|,,1999-01-01|,|,,
 B&W,,,English,,,,,,,
 B. L. H. Dabbs,,,American,,1839-01-01,,1899-01-01,,,
 B. T. De Wilde,,,Dutch,,,,,,,
 Baccarat Factory,attributed to,,French,,1822-01-01,,,,,
 Baccio Bandinelli,school of,,Italian,,1488-01-01,,1560-01-01," Florence (Firenze province, Tuscany, Italy)",,
 Bachrach,,,American,,,,,,,
 Bajokwe unknown Congolese,,,Congolese,,,,,,,
 Bakewells & Anderson|Bakewells & Company,attributed to|attributed to,,American|American,,|1836-01-01,,|1842-01-01,|,,
 Bakewell|unknown American,attributed manufacturer|,,American|American,,1808-01-01|,,1882-01-01|,|,,
 Bakum unknown Cameroonian,,,Cameroonian,,,,,,,
 Baldwin,,,American,,,,,,,
 Balthus,,,French,,1/1/1908,,1/1/2001,,,
 Barbara Bloom,,,American,,1/1/1949,,,,,
 Bard and Vanderbilt,architects,,American,,1/1/1929,,1/1/1952,,,
 Barnett Newman,,,American,,1/1/1905,,1/1/1970,New York,,
 Baron,,,British,,1/1/1906,,1/1/1956,,,
 Barry Shields,,,American,,1/1/1952,,,,,
 Bart Antony van der Leck,,,Dutch,,1876-01-01,,1/1/1958,"Blaricum, Netherlands",,
 Barthel Beham,,,German,,1502-01-01,,1540-01-01,,,
 Bartholomaus Meissen Porcelain Manufactory|Seuter,manufacturer|decorator,,German|German,,1710-01-01|1678-01-01,,|1754-01-01,|,,
 Bartolome E. Murillo,,,Spanish,,1618-01-01,,1682-01-01,"Seville (Sevilla province, Andalusia, Spain)",,
 Bartolomeo Cesi,,,Italian,,1556-01-01,,1629-01-01," Bologna (Bologna province, Emilia-Romagna, Italy)",,
 Bartolomeo Pinelli,,,Italian,,1781-01-01,,1835-01-01,"Rome, Italy",,
 Basonge unknown Congolese,,,Congolese,,,,,,,
 Battini,,,Italian,,,,,,,
 Bauer and Co.,,,American,,1860-01-01,,,,,
 Beauford Delaney,,,American,,1/1/1901,,1/1/1979," Paris (Ville de Paris department, Île-de-France, France)",,
 Beebe,,,American,,1860-01-01,,,,,
 Behbeit unknown Egyptian,,,Egyptian,,,,,,,
 Belle Kogan|Reed & Barton,designer|manufacturer,,American|American,,1902-01-01|1840-01-01,,2000-01-01|,|,,
 Bellevue Pottery|Peppard and Callan,attributed manufacturer|retailer,,English|American,,1825-01-01|,,1841-01-01|,|,,
 Ben Benn,,,American,,1884-01-01,,1/1/1983," New York City (New York state, United States)",,
 Ben Foster,,,American,,1852-01-01,,1/1/1926,,,
 Benedetto Buglioni,attributed to,,Italian,,1459-01-01,,1521-01-01,"Florence, Italy",,
 Benedetto Diana,,,Italian,,1445-01-01,,1525-01-01,"Venice (Venezia province, Veneto, Italy)",,
 Benedetto Montagna,,,Italian,,1470-01-01,,1540-01-01,"Vicenza, Italy",,
 Benedetto da Maiano,attributed to,,Italian,,1442-01-01,,1497-01-01,,,
 Benjamin Beale Evans,,,British,,,,1824-01-01,,,
 Benjamin Beale|Du Simitière Evans,printmaker|after,,British|Swiss,,|1726-01-01,,1824-01-01|1784-01-01,"|Philadelphia, United States",,
 Benjamin Edwards,,,American,,1/1/1970,,,,,
 Benjamin Franklin Smith,after|,,American|American,,1830-01-01|1819-01-01,,1927-01-01|1900-01-01,|,,
 Benjamin Moore,,,American,,1/1/1952,,,,,
 Benjamin Trott,,,American,,1770-01-01,,1841-01-01,,,
 Benjamin Wilson,,,British,,1721-01-01,,1788-01-01,,,
 Benjamin|Elkington & Company Schlick,designer|manufacturer,,Danish|British,,1796-01-01|1830-01-01,,1872-01-01|1892-01-01,"Paris (Ville de Paris department, Île-de-France, France)|",,
 Benjamin|Elliott Edols,|,,Australian|Australian,,1967-01-01|1964-01-01,,|,|,,
 Benjamin|Hogarth Smith,engraver|after,,British|English,,1775-01-01|1697-01-01,,1833-01-01|1764-01-01,"| London (Greater London, England, United Kingdom)",,
 Benjamin|Stubbs Green,printmaker|after,,British|British,,1726-01-01|1724-01-01,,1800-01-01|1806-01-01,|,,
 Bennett Bean,,,American,,1/1/1941,,,,,
 Bernard Brussel-Smith,,,American,,1/1/1914,,1/1/1989,"Bedford Hills, NY",,
 Bernard Hailstone,,,British,,1/1/1910,,1/1/1987,,,
 Bernard J. Rosenmeyer,,,American,,1869-01-01,,1/1/1920,,,
 Bernard Karfiol,,,American,,1886-01-01,,1/1/1952,,,
 Bernard Leach,,,British,,1887-01-01,,1/1/1979,"St. Ives, Cornwall, England",,
 Bernard Lens,after,,British,,,,,,,
 Bernard Meadows,,,British,,1/1/1915,,1/1/2005,,,
 Bernard Molitor,attributed to,,German,,1720-01-01,,1833-01-01,"Fontainebleau (Seine-et-Marne, Île-de-France, France)",,
 Bernard Wagner,,,American,,1/1/1900,,,,,
 Bernardino unknown European|Radi,after|,,European|Italian,,|1581-01-01,,|1643-01-01,|,,
 Bernard|Leach Pottery Leach,designer|maker,,British|British,,1887-01-01|1915-01-01,,1979-01-01|,"St. Ives, Cornwall, England|",,
 Bernd and Hilla Becher,,,German,,1/1/1959,,1/1/2007,,,
 Bernhard Prinz,,,German,,1/1/1953,,,,,
 Bernhard Wagner,,,German,,,,,,,
 Berthe Morisot,,,French,,1841-01-01,,1895-01-01,"Paris, France",,
 Bertil Vallien,,,Swedish,,1/1/1938,,,,,
 Bertram G. Goodhue,,,American,,1869-01-01,,1/1/1924,,,
 Bertrand Lavier,,,French,,1/1/1949,,,,,
 Bets,,,American,,1860-01-01,,,,,
 Beverly Buchanan,,,American,,1/1/1940,,,,,
 Bill Brandt,,,British,,1/1/1904,,1/1/1983,"London (Greater London, England, United Kingdom)",,
 Bill Kane,,,American,,1/1/1951,,,,,
 Bill Woodrow,,,English,,1/1/1948,,,,,
 Binche unknown Flemish,,,Flemish,,,,,,,
 Birch B. La Farge and Morris|Long,architects|,,American|American,,1910-01-01|1878-01-01,,1915-01-01|1927-01-01,|,,
 Black & Gloniger Agents,,,American,,,,,,,
 Blanche McVeigh,,,American,,1895-01-01,,1/1/1970,,,
 Bodil Manz,,,Danish,,1/1/1943,,,,,
 Boetius Adams unknown Dutch|Bolswert,after|,,Dutch|Flemish,,|1580-01-01,,|1633-01-01,|,,
 Bohlin Cywinski Jackson,architects,,American,,1/1/1965,,,,,
 Bohumil Elias,,,Czech,,1/1/1937,,,,,
 Bolognese School,,,Italian,,1650-01-01,,1680-01-01,,,
 Bonnie Seeman,,,American,,1/1/1969,,,,,
 Boston Furniture Co.,,,American,,,,,,,
 Bradley & Hubbard Manufacturing Company,,,American,,1854-01-01,,1/1/1940,,,
 Brendan|Jakob Jakob + MacFarlane|Macfarlane,||,,French|New Zealander|French,,1992-01-01|1961-01-01|1966-01-01,,||,||,,
 Brent Kee Young,,,American,,1/1/1946,,,,,
 Bretby Art Pottery,,,English,,1883-01-01,,1/1/1918,,,
 Brett Weston,,,American,,1/1/1911,,1/1/1993,,,
 Brett|Gallagher Bernardo,architect|,,American|American,,1900-01-01|,,|,|,,
 Brian Brenno,,,American,,1/1/1958,,,,,
 Bridget Riley,,,English,,1/1/1931,,,,,
 Broadbent & Taylor,,,American,,,,1880-01-01,,,
 Broadbent Brothers,,,American,,1884-01-01,,,,,
 Bror Julius Olsson Nordfeldt,,,American,,1878-01-01,,1/1/1955,"Santa Fe (Santa Fe county, New Mexico, United States)",,
 Brother Thomas Bezanson,,,American,,1/1/1929,,1/1/2007,"Erie, PA",,
